Kraj;Poradi;Kandidat;Jmeno1;Jmeno2;Titul1;Titul2;Titul3;Titul4;Titul5;Vek;Strana;Clen
Plzeòskı;6;Jonáš Jakub Bc.;Jonáš;Jakub;Bc.;;;;;24;SPOZ;SPOZ
Královéhradeckı;9;Jónová Andrea;Jónová;Andrea;;;;;;27;SPOZ;SPOZ
Libereckı;4;Jörg Ivo MUDr.;Jörg;Ivo;MUDr.;;;;;61;SPOZ;BEZPP
Olomouckı;9;Kaláb Stanislav Mgr.;Kaláb;Stanislav;Mgr.;;;;;62;SPOZ;BEZPP
Støedoèeskı;15;Kalousek Tomáš;Kalousek;Tomáš;;;;;;35;SPOZ;SPOZ
Karlovarskı;7;Kamenickı Miroslav;Kamenickı;Miroslav;;;;;;42;SPOZ;SPOZ
Moravskoslezskı;16;Kapková Šárka;Kapková;Šárka;;;;;;47;SPOZ;SPOZ
Plzeòskı;4;Kapoun František Bc.;Kapoun;František;Bc.;;;;;47;SPOZ;SPOZ
Ústeckı;21;Karásek Daniel;Karásek;Daniel;;;;;;39;SPOZ;SPOZ
Støedoèeskı;27;Karel Miroslav Ing.;Karel;Miroslav;Ing.;;;;;41;SPOZ;SPOZ
Hl. m. Praha;36;Kasík Jiøí MUDr. Ph.D.;Kasík;Jiøí;MUDr.;Ph.D.;;;;57;SPOZ;BEZPP
Vysoèina;15;Kašpar Milan Ing. CSc.;Kašpar;Milan;Ing.;CSc.;;;;59;SPOZ;SPOZ
Jihomoravskı;3;Keremidskı Marian Mgr.;Keremidskı;Marian;Mgr.;;;;;45;SPOZ;SPOZ
Karlovarskı;14;Kertészová Gabriela;Kertészová;Gabriela;;;;;;37;SPOZ;SPOZ
Zlínskı;18;Kleèka Jaromír;Kleèka;Jaromír;;;;;;49;SPOZ;BEZPP
Plzeòskı;13;Klíma Roman Ing.;Klíma;Roman;Ing.;;;;;37;SPOZ;SPOZ
Hl. m. Praha;31;Klimtová Vítìzslava;Klimtová;Vítìzslava;;;;;;72;SPOZ;BEZPP
Olomouckı;6;Klvaè Jiøí Ing. CSc.;Klvaè;Jiøí;Ing.;CSc.;;;;66;SPOZ;SPOZ
Karlovarskı;4;Kocábová Tatiana;Kocábová;Tatiana;;;;;;45;SPOZ;SPOZ
Jihomoravskı;15;Kocka Ivan MUDr.;Kocka;Ivan;MUDr.;;;;;67;SPOZ;SPOZ
Moravskoslezskı;27;Kocyan Martin Ing.;Kocyan;Martin;Ing.;;;;;40;SPOZ;SPOZ
Vysoèina;7;Kodys Josef Ing.;Kodys;Josef;Ing.;;;;;55;SPOZ;SPOZ
Zlínskı;15;Kolkus Jaroslav Generálpor.v.z. Ing.;Kolkus;Jaroslav;Generálpor.v.z.;Ing.;;;;59;SPOZ;SPOZ
Vysoèina;3;Komòackı František PaedDr.;Komòackı;František;PaedDr.;;;;;61;SPOZ;BEZPP
Hl. m. Praha;34;Koneèná Nadìda;Koneèná;Nadìda;;;;;;50;SPOZ;SPOZ
Støedoèeskı;2;Koníèek František Ing.;Koníèek;František;Ing.;;;;;60;SPOZ;BEZPP
Ústeckı;24;Koreneková Eva Mgr. CSc.;Koreneková;Eva;Mgr.;CSc.;;;;60;SPOZ;SPOZ
Olomouckı;22;Korkeš Ondøej Ing.;Korkeš;Ondøej;Ing.;;;;;26;SPOZ;SPOZ
Plzeòskı;16;Koskuba Jakub;Koskuba;Jakub;;;;;;27;SPOZ;SPOZ
Støedoèeskı;11;Košák Ladislav Ing.;Košák;Ladislav;Ing.;;;;;49;SPOZ;SPOZ
Hl. m. Praha;29;Kotouèová Michaela Dis.;Kotouèová;Michaela;DiS.;;;;;35;SPOZ;SPOZ
Karlovarskı;11;Kouba Roman Mgr.;Kouba;Roman;Mgr.;;;;;45;SPOZ;SPOZ
Jihoèeskı;6;Koukolová Kvítková Dana;Koukolová;Kvítková Dana;;;;;;44;SPOZ;SPOZ
Libereckı;11;Koutková Helena Mgr.;Koutková;Helena;Mgr.;;;;;43;SPOZ;SPOZ
Moravskoslezskı;28;Kováèik Lubomír;Kováèik;Lubomír;;;;;;29;SPOZ;SPOZ
Královéhradeckı;11;Kováèiková Veronika;Kováèiková;Veronika;;;;;;21;SPOZ;SPOZ
Moravskoslezskı;23;Kováø Miloslav PhDr. Mgr.;Kováø;Miloslav;PhDr.;Mgr.;;;;63;SPOZ;BEZPP
Ústeckı;14;Kozlerová Vlasta;Kozlerová;Vlasta;;;;;;45;SPOZ;SPOZ
Jihoèeskı;13;Konar Miloslav Ing.;Konar;Miloslav;Ing.;;;;;59;SPOZ;SPOZ
Moravskoslezskı;35;Kooušek Martin Ing.;Kooušek;Martin;Ing.;;;;;50;SPOZ;BEZPP
Libereckı;10;Krákora Michal;Krákora;Michal;;;;;;33;SPOZ;SPOZ
Jihoèeskı;20;Král Zdenìk;Král;Zdenìk;;;;;;53;SPOZ;SPOZ
Støedoèeskı;18;Králík Miroslav;Králík;Miroslav;;;;;;51;SPOZ;BEZPP
Moravskoslezskı;13;Krejzlová Darina Mgr.;Krejzlová;Darina;Mgr.;;;;;42;SPOZ;SPOZ
Hl. m. Praha;5;Kroh Michael Doc. Ing. CSc.;Kroh;Michael;doc.;Ing.;CSc.;;;65;SPOZ;SPOZ
Zlínskı;8;Kruliš Vladimír Mgr.;Kruliš;Vladimír;Mgr.;;;;;31;SPOZ;SPOZ
Plzeòskı;10;Krumer Vladislav PaedDr.;Krumer;Vladislav;PaedDr.;;;;;71;SPOZ;BEZPP
Moravskoslezskı;25;Kubíèek Aleš Mgr.;Kubíèek;Aleš;Mgr.;;;;;46;SPOZ;BEZPP
Jihoèeskı;8;Kubièka Josef;Kubièka;Josef;;;;;;44;SPOZ;SPOZ
Jihoèeskı;7;Kudrlièka Zdenìk;Kudrlièka;Zdenìk;;;;;;44;SPOZ;SPOZ
Jihomoravskı;18;Kunz Zdenìk Mgr.;Kunz;Zdenìk;Mgr.;;;;;46;SPOZ;SPOZ
Plzeòskı;1;Kùrka Jan;Kùrka;Jan;;;;;;70;SPOZ;SPOZ
Pardubickı;3;Kusı Zbynìk;Kusı;Zbynìk;;;;;;47;SPOZ;BEZPP
Libereckı;6;Kuttler Pavel Ing.;Kuttler;Pavel;Ing.;;;;;40;SPOZ;SPOZ
Jihoèeskı;1;Kuvart Miloš RNDr.;Kuvart;Miloš;RNDr.;;;;;52;SPOZ;BEZPP
Karlovarskı;1;Kvasnièka Josef JUDr.;Kvasnièka;Josef;JUDr.;;;;;63;SPOZ;SPOZ
Jihoèeskı;18;Lanc Martin DiS.;Lanc;Martin;DiS.;;;;;27;SPOZ;SPOZ
Ústeckı;12;Lébr Josef Ing.;Lébr;Josef;Ing.;;;;;51;SPOZ;SPOZ
Hl. m. Praha;6;Legierská Yvona Ing.;Legierská;Yvona;Ing.;;;;;57;SPOZ;BEZPP
Vysoèina;8;Lettrich Ján Ing.;Lettrich;Ján;Ing.;;;;;67;SPOZ;SPOZ
Støedoèeskı;23;Lichı Jaromír Ing.;Lichı;Jaromír;Ing.;;;;;50;SPOZ;SPOZ
Moravskoslezskı;11;Lizák Jiøí;Lizák;Jiøí;;;;;;45;SPOZ;SPOZ
Vysoèina;16;Lodinová Miluše;Lodinová;Miluše;;;;;;50;SPOZ;SPOZ
Jihomoravskı;5;Longaver Karel JUDr.;Longaver;Karel;JUDr.;;;;;65;SPOZ;SPOZ
Støedoèeskı;9;Ludvík Martin Ing.;Ludvík;Martin;Ing.;;;;;48;SPOZ;SPOZ
Jihomoravskı;1;Lukl František Mgr. MPA;Lukl;František;Mgr.;MPA;;;;35;SPOZ;BEZPP
Hl. m. Praha;28;Macíková Monika;Macíková;Monika;;;;;;40;SPOZ;SPOZ
Moravskoslezskı;5;Mach Kamil;Mach;Kamil;;;;;;42;SPOZ;SPOZ
Zlínskı;13;Macháèek Jiøí Ing.;Macháèek;Jiøí;Ing.;;;;;55;SPOZ;SPOZ
Støedoèeskı;13;Málková Veronika;Málková;Veronika;;;;;;25;SPOZ;SPOZ
Zlínskı;2;Maniš Dalibor Ing. MPA;Maniš;Dalibor;Ing.;MPA;;;;51;SPOZ;SPOZ
Ústeckı;18;Marek Jiøí Ing.;Marek;Jiøí;Ing.;;;;;61;SPOZ;BEZPP
Olomouckı;21;Marek Miroslav;Marek;Miroslav;;;;;;66;SPOZ;SPOZ
Ústeckı;20;Marková Valerie;Marková;Valerie;;;;;;53;SPOZ;BEZPP
Jihomoravskı;10;Marša Igor Ing.;Marša;Igor;Ing.;;;;;53;SPOZ;SPOZ
Jihoèeskı;10;Martan Petr;Martan;Petr;;;;;;55;SPOZ;SPOZ
Hl. m. Praha;27;Maøík Milan Ing.;Maøík;Milan;Ing.;;;;;53;SPOZ;SPOZ
Libereckı;3;Masopust Jaroslav;Masopust;Jaroslav;;;;;;56;SPOZ;SPOZ
Jihoèeskı;17;Masopust Karel Ing.;Masopust;Karel;Ing.;;;;;57;SPOZ;SPOZ
Libereckı;12;Matìcha Miroslav Mgr.;Matìcha;Miroslav;Mgr.;;;;;68;SPOZ;SPOZ
Královéhradeckı;4;Matìjka Miroslav Bc. DiS.;Matìjka;Miroslav;Bc.;DiS.;;;;43;SPOZ;SPOZ
Støedoèeskı;14;Melíšek Radomír;Melíšek;Radomír;;;;;;51;SPOZ;SPOZ
Pardubickı;12;Meloun Aleš;Meloun;Aleš;;;;;;42;SPOZ;SPOZ
Jihoèeskı;16;Michalec Vladislav Ing.;Michalec;Vladislav;Ing.;;;;;52;SPOZ;SPOZ
Ústeckı;6;Mikeš Milan;Mikeš;Milan;;;;;;48;SPOZ;BEZPP
Zlínskı;5;Miko František;Miko;František;;;;;;59;SPOZ;SPOZ
Královéhradeckı;15;Mitroviè Denis JUDr.;Mitroviè;Denis;JUDr.;;;;;33;SPOZ;SPOZ
Karlovarskı;5;Mlátilík Ilja;Mlátilík;Ilja;;;;;;54;SPOZ;SPOZ
Vysoèina;19;Mokrı Milan Mgr.;Mokrı;Milan;Mgr.;;;;;46;SPOZ;SPOZ
Ústeckı;4;Moravec Leoš PhDr. Mgr.;Moravec;Leoš;PhDr.;Mgr.;;;;34;SPOZ;SPOZ
Královéhradeckı;13;Morávek Jiøí Mgr.;Morávek;Jiøí;Mgr.;;;;;55;SPOZ;BEZPP
Støedoèeskı;29;Morstein Jiøí;Morstein;Jiøí;;;;;;37;SPOZ;SPOZ
Støedoèeskı;17;Motyèková Ilona;Motyèková;Ilona;;;;;;38;SPOZ;SPOZ
Støedoèeskı;30;Moudrá Irena;Moudrá;Irena;;;;;;44;SPOZ;SPOZ
Jihomoravskı;21;Musil Zdenìk Mgr.;Musil;Zdenìk;Mgr.;;;;;42;SPOZ;SPOZ
Zlínskı;1;Mynáø Vratislav Ing.;Mynáø;Vratislav;Ing.;;;;;46;SPOZ;SPOZ
Jihomoravskı;27;Najda Vladimír Ing.;Najda;Vladimír;Ing.;;;;;46;SPOZ;SPOZ
Olomouckı;20;Navrátil Petr;Navrátil;Petr;;;;;;40;SPOZ;BEZPP
Zlínskı;3;Neèas Lubomír MUDr.;Neèas;Lubomír;MUDr.;;;;;58;SPOZ;SPOZ
Jihomoravskı;9;Nìmec Richard;Nìmec;Richard;;;;;;43;SPOZ;SPOZ
Hl. m. Praha;3;Nemrah Zakaría;Nemrah;Zakaría;;;;;;23;SPOZ;SPOZ
Vysoèina;20;Neumann Libor;Neumann;Libor;;;;;;47;SPOZ;SPOZ
Støedoèeskı;33;Neuwirth Jiøí;Neuwirth;Jiøí;;;;;;29;SPOZ;SPOZ
Libereckı;1;Nezmar Jan Ing.;Nezmar;Jan;Ing.;;;;;36;SPOZ;BEZPP
Jihomoravskı;32;Nikolai Petr;Nikolai;Petr;;;;;;41;SPOZ;SPOZ
Moravskoslezskı;6;Novák David Mgr.;Novák;David;Mgr.;;;;;41;SPOZ;BEZPP
Zlínskı;4;Novák Josef Mgr.;Novák;Josef;Mgr.;;;;;43;SPOZ;SPOZ
Hl. m. Praha;25;Novák Petr;Novák;Petr;;;;;;57;SPOZ;BEZPP
Moravskoslezskı;32;Palièka Jaroslav;Palièka;Jaroslav;;;;;;55;SPOZ;SPOZ
Zlínskı;14;Panáèek Josef Ing.;Panáèek;Josef;Ing.;;;;;62;SPOZ;SPOZ
Moravskoslezskı;17;Pastròák Petr;Pastròák;Petr;;;;;;63;SPOZ;SPOZ
Jihomoravskı;6;Paulík Vladimír;Paulík;Vladimír;;;;;;46;SPOZ;SPOZ
Moravskoslezskı;26;Pavelka Jan Mgr.;Pavelka;Jan;Mgr.;;;;;32;SPOZ;SPOZ
Jihomoravskı;2;Pavlík Martin prim. MUDr. Ph.D.;Pavlík;Martin;prim.;MUDr.;Ph.D.;;;43;SPOZ;BEZPP
Moravskoslezskı;1;Pecina Martin Ing. MBA;Pecina;Martin;Ing.;MBA;;;;45;SPOZ;BEZPP
Jihoèeskı;4;Pelèák Oldøich Ing.;Pelèák;Oldøich;Ing.;;;;;69;SPOZ;SPOZ
Zlínskı;6;Pernickı Jiøí Mgr.;Pernickı;Jiøí;Mgr.;;;;;56;SPOZ;BEZPP
Plzeòskı;19;Peroutka Jaroslav;Peroutka;Jaroslav;;;;;;36;SPOZ;SPOZ
Ústeckı;7;Pešák David;Pešák;David;;;;;;38;SPOZ;SPOZ
Plzeòskı;15;Petrièko Pavel Ing.;Petrièko;Pavel;Ing.;;;;;31;SPOZ;BEZPP
Zlínskı;11;Petrelková Hana Ing.Bc.;Petrelková;Hana;Ing.;Bc.;;;;38;SPOZ;SPOZ
Vysoèina;17;Pilková Mária Ing.;Pilková;Mária;Ing.;;;;;59;SPOZ;SPOZ
Jihoèeskı;2;Pohanka František Mgr.;Pohanka;František;Mgr.;;;;;57;SPOZ;SPOZ
Jihoèeskı;21;Pohanková Kateøina Mgr.;Pohanková;Kateøina;Mgr.;;;;;30;SPOZ;SPOZ
Ústeckı;19;Pokornı Ivan Ing.;Pokornı;Ivan;Ing.;;;;;49;SPOZ;SPOZ
Plzeòskı;18;Polívka Aleš;Polívka;Aleš;;;;;;47;SPOZ;SPOZ
Zlínskı;7;Popelka Jan Doc.Dr. CSc.;Popelka;Jan;doc.;Dr.;CSc.;;;60;SPOZ;BEZPP
Jihomoravskı;33;Pospíchal Lubor;Pospíchal;Lubor;;;;;;33;SPOZ;SPOZ
Olomouckı;2;Pospíšil Jiøí PhDr.;Pospíšil;Jiøí;PhDr.;;;;;61;SPOZ;SPOZ
Olomouckı;15;Pospíšilík Radek;Pospíšilík;Radek;;;;;;44;SPOZ;SPOZ
Jihomoravskı;26;Povoda Karol Ing.;Povoda;Karol;Ing.;;;;;57;SPOZ;SPOZ
Karlovarskı;6;Procházka Miroslav;Procházka;Miroslav;;;;;;68;SPOZ;SPOZ
Hl. m. Praha;7;Pršala Pavel Ing. CSc.;Pršala;Pavel;Ing.;CSc.;;;;61;SPOZ;SPOZ
Jihomoravskı;28;Prudíková Kateøina Mgr.;Prudíková;Kateøina;Mgr.;;;;;43;SPOZ;SPOZ
Moravskoslezskı;20;Pøeèek Radim Ing.;Pøeèek;Radim;Ing.;;;;;40;SPOZ;SPOZ
Moravskoslezskı;14;Pøibyl Hugo MUDr. Ph.D.;Pøibyl;Hugo;MUDr.;Ph.D.;;;;57;SPOZ;BEZPP
Vysoèina;5;Pustina Jakub;Pustina;Jakub;;;;;;31;SPOZ;BEZPP
Olomouckı;16;Raclová Vladimíra Mgr.;Raclová;Vladimíra;Mgr.;;;;;25;SPOZ;SPOZ
Olomouckı;17;Reinerová Markéta Ing.;Reinerová;Markéta;Ing.;;;;;32;SPOZ;SPOZ
Pardubickı;5;Rejda Tomáš MUDr.;Rejda;Tomáš;MUDr.;;;;;59;SPOZ;SPOZ
Jihoèeskı;19;Rosol Jaroslav;Rosol;Jaroslav;;;;;;56;SPOZ;SPOZ
Karlovarskı;8;Rudolfová Jitka Mgr.;Rudolfová;Jitka;Mgr.;;;;;50;SPOZ;SPOZ
Støedoèeskı;5;Rudyšarová Alexandra Mgr.;Rudyšarová;Alexandra;Mgr.;;;;;48;SPOZ;BEZPP
Libereckı;15;Rulec Zbynìk;Rulec;Zbynìk;;;;;;58;SPOZ;SPOZ
Jihoèeskı;22;Ryba Miroslav;Ryba;Miroslav;;;;;;53;SPOZ;SPOZ
Královéhradeckı;12;Øezníèková Iva Mgr.;Øezníèková;Iva;Mgr.;;;;;39;SPOZ;BEZPP
Moravskoslezskı;21;Salot Patrik Ing.;Salot;Patrik;Ing.;;;;;41;SPOZ;SPOZ
Plzeòskı;17;Sedláèek Ivo;Sedláèek;Ivo;;;;;;36;SPOZ;SPOZ
Støedoèeskı;10;Seidl Jiøí;Seidl;Jiøí;;;;;;68;SPOZ;SPOZ
Libereckı;9;Sejkorová Martina DiS.;Sejkorová;Martina;DiS.;;;;;48;SPOZ;SPOZ
Hl. m. Praha;10;Sekera Tomáš Mgr. MBA;Sekera;Tomáš;Mgr.;MBA;;;;48;SPOZ;SPOZ
Plzeòskı;3;Schling Jaromír Ing.;Schling;Jaromír;Ing.;;;;;67;SPOZ;SPOZ
Moravskoslezskı;2;Schubert Martin Ing.;Schubert;Martin;Ing.;;;;;43;SPOZ;SPOZ
Moravskoslezskı;7;Sládeèek Karel Mgr.;Sládeèek;Karel;Mgr.;;;;;50;SPOZ;SPOZ
Libereckı;5;Slováèek Antonín;Slováèek;Antonín;;;;;;70;SPOZ;BEZPP
Moravskoslezskı;19;S³owioczek Klemens Mgr.;S³owioczek;Klemens;Mgr.;;;;;67;SPOZ;BEZPP
Olomouckı;4;Smékal Petr;Smékal;Petr;;;;;;31;SPOZ;SPOZ
Hl. m. Praha;2;Smrèka Luboš Doc. Ing. CSc.;Smrèka;Luboš;doc.;Ing.;CSc.;;;52;SPOZ;SPOZ
Ústeckı;13;Souèek Petr Ing.;Souèek;Petr;Ing.;;;;;53;SPOZ;SPOZ
Pardubickı;4;Soušek Miloslav Ing.;Soušek;Miloslav;Ing.;;;;;52;SPOZ;BEZPP
Jihomoravskı;29;Spurnı Petr;Spurnı;Petr;;;;;;45;SPOZ;SPOZ
Moravskoslezskı;3;Starı Marian MUDr.;Starı;Marian;MUDr.;;;;;48;SPOZ;SPOZ
Støedoèeskı;22;Stojanoviè Vladimír;Stojanoviè;Vladimír;;;;;;42;SPOZ;SPOZ
Ústeckı;22;Stránská Kateøina Bc.;Stránská;Kateøina;Bc.;;;;;30;SPOZ;SPOZ
Jihomoravskı;23;Strnad Pavel doc. MUDr. CSc.;Strnad;Pavel;doc.;MUDr.;CSc.;;;67;SPOZ;SPOZ
Pardubickı;18;Strouhal Leoš Mgr.;Strouhal;Leoš;Mgr.;;;;;60;SPOZ;SPOZ
Libereckı;16;Stru Jan Ing.;Stru;Jan;Ing.;;;;;64;SPOZ;SPOZ
Moravskoslezskı;29;Suchár Ján Mgr.;Suchár;Ján;Mgr.;;;;;40;SPOZ;SPOZ
Ústeckı;17;Suchı Jiøí Ing.;Suchı;Jiøí;Ing.;;;;;52;SPOZ;SPOZ
Vysoèina;14;Sukdolák Patrik Ing.;Sukdolák;Patrik;Ing.;;;;;41;SPOZ;SPOZ
Plzeòskı;12;Svoboda Tomáš;Svoboda;Tomáš;;;;;;32;SPOZ;SPOZ
Olomouckı;19;Svozil Jaromír;Svozil;Jaromír;;;;;;50;SPOZ;SPOZ
Olomouckı;14;Šafránková Zdenka Ing.;Šafránková;Zdenka;Ing.;;;;;39;SPOZ;SPOZ
Jihomoravskı;11;Šalomonová Rùena Mgr.;Šalomonová;Rùena;Mgr.;;;;;59;SPOZ;SPOZ
Jihoèeskı;14;Šatra Quido;Šatra;Quido;;;;;;60;SPOZ;SPOZ
Olomouckı;10;Šèuglík Zbynìk;Šèuglík;Zbynìk;;;;;;23;SPOZ;SPOZ
Pardubickı;15;Šebek Vladimír Ing. Bc.;Šebek;Vladimír;Ing.;Bc.;;;;58;SPOZ;SPOZ
Olomouckı;5;Ševèík Martin;Ševèík;Martin;;;;;;39;SPOZ;SPOZ
Karlovarskı;12;Ševèík Michal;Ševèík;Michal;;;;;;39;SPOZ;SPOZ
Hl. m. Praha;19;Šímová Michaela Ing.;Šímová;Michaela;Ing.;;;;;46;SPOZ;SPOZ
Hl. m. Praha;12;Šimùnková Martina Ing.;Šimùnková;Martina;Ing.;;;;;49;SPOZ;SPOZ
Moravskoslezskı;34;Škripek Jan;Škripek;Jan;;;;;;28;SPOZ;SPOZ
Ústeckı;11;Šmíd Petr Mgr. Bc.;Šmíd;Petr;Mgr.;Bc.;;;;49;SPOZ;SPOZ
Pardubickı;1;Štengl Zdenìk Mgr. Bc.;Štengl;Zdenìk;Mgr.;Bc.;;;;48;SPOZ;SPOZ
Královéhradeckı;2;Štìpán Miroslav Ing. genmjr. v. v.;Štìpán;Miroslav;Ing.;Generálmajor.v.v.;;;;63;SPOZ;BEZPP
Libereckı;13;Štìpánková Eva;Štìpánková;Eva;;;;;;48;SPOZ;SPOZ
Jihoèeskı;5;Štìrbová Kristina Ing.;Štìrbová;Kristina;Ing.;;;;;27;SPOZ;SPOZ
Jihomoravskı;20;Štykar Jan doc. Dr. Ing.;Štykar;Jan;doc.;Dr.;Ing.;;;51;SPOZ;SPOZ
Olomouckı;3;Šuba Miroslav Ing.;Šuba;Miroslav;Ing.;;;;;68;SPOZ;SPOZ
Jihomoravskı;14;Šula Miroslav JUDr.;Šula;Miroslav;JUDr.;;;;;59;SPOZ;SPOZ
Støedoèeskı;6;Švagr Martin MUDr.;Švagr;Martin;MUDr.;;;;;44;SPOZ;SPOZ
Olomouckı;7;Švédová Kvìtoslava Mgr.;Švédová;Kvìtoslava;Mgr.;;;;;50;SPOZ;BEZPP
Vysoèina;1;Švihlíková Ilona doc. Ing. Ph.D.;Švihlíková;Ilona;doc.;Ing.;Ph.D.;;;36;SPOZ;BEZPP
Hl. m. Praha;22;Talanda Petr Ing. MBA;Talanda;Petr;Ing.;MBA;;;;50;SPOZ;SPOZ
Vysoèina;4;Technik Petr MUDr.;Technik;Petr;MUDr.;;;;;62;SPOZ;SPOZ
Ústeckı;1;Toman Miroslav Ing. CSc.;Toman;Miroslav;Ing.;CSc.;;;;53;SPOZ;BEZPP
Jihomoravskı;13;Tomášek Miloš;Tomášek;Miloš;;;;;;48;SPOZ;SPOZ
Zlínskı;22;Tomášek Václav Ing. CSc.;Tomášek;Václav;Ing.;CSc.;;;;58;SPOZ;SPOZ
Vysoèina;6;Trávník Bohumil;Trávník;Bohumil;;;;;;64;SPOZ;SPOZ
Olomouckı;12;Tuèek Roman Ing. Mgr.;Tuèek;Roman;Ing.;Mgr.;;;;43;SPOZ;SPOZ
Støedoèeskı;3;Tùmová Stanislava;Tùmová;Stanislava;;;;;;55;SPOZ;SPOZ
Pardubickı;13;Urešová Ivana Ing.;Urešová;Ivana;Ing.;;;;;50;SPOZ;SPOZ
Moravskoslezskı;22;Uvíra Vítìzslav Ing.;Uvíra;Vítìzslav;Ing.;;;;;42;SPOZ;SPOZ
Hl. m. Praha;30;Václavík Pavel Bc.;Václavík;Pavel;Bc.;;;;;26;SPOZ;SPOZ
Hl. m. Praha;33;Václavík Pavel;Václavík;Pavel;;;;;;49;SPOZ;SPOZ
Pardubickı;6;Vagenknecht Tomáš;Vagenknecht;Tomáš;;;;;;50;SPOZ;SPOZ
Jihomoravskı;24;Valášková Jana;Valášková;Jana;;;;;;48;SPOZ;SPOZ
Støedoèeskı;7;Války Vladimír Ing.;Války;Vladimír;Ing.;;;;;54;SPOZ;SPOZ
Støedoèeskı;24;Vanìk Petr;Vanìk;Petr;;;;;;27;SPOZ;SPOZ
Ústeckı;16;Vavøík Jiøí Bc.;Vavøík;Jiøí;Bc.;;;;;37;SPOZ;SPOZ
Moravskoslezskı;8;Veèerková Ludmila Mgr.;Veèerková;Ludmila;Mgr.;;;;;47;SPOZ;SPOZ
Zlínskı;9;Veèeøa Petr Ing.;Veèeøa;Petr;Ing.;;;;;54;SPOZ;BEZPP
Zlínskı;20;Velínskı Petr JUDr.;Velínskı;Petr;JUDr.;;;;;61;SPOZ;BEZPP
Ústeckı;5;Vinickı Ivan;Vinickı;Ivan;;;;;;58;SPOZ;SPOZ
Jihomoravskı;4;Viskot Marek Ing.;Viskot;Marek;Ing.;;;;;37;SPOZ;SPOZ
Olomouckı;13;Vítková Monika MVDr.;Vítková;Monika;MVDr.;;;;;29;SPOZ;SPOZ
Hl. m. Praha;32;Vlèek Vít JUDr.;Vlèek;Vít;JUDr.;;;;;55;SPOZ;SPOZ
Královéhradeckı;6;Vlèková Dagmar Kristına;Vlèková;Dagmar Kristına;;;;;;37;SPOZ;SPOZ
Hl. m. Praha;18;Vodièka Aleš Ing.;Vodièka;Aleš;Ing.;;;;;42;SPOZ;SPOZ
Ústeckı;10;Vodièka Miloš MUDr.;Vodièka;Miloš;MUDr.;;;;;50;SPOZ;SPOZ
Pardubickı;17;Vohralíková Milena;Vohralíková;Milena;;;;;;69;SPOZ;SPOZ
Hl. m. Praha;35;Vondrášek Matyáš;Vondrášek;Matyáš;;;;;;23;SPOZ;SPOZ
Pardubickı;19;Vondrová Martina Dis.;Vondrová;Martina;DiS.;;;;;33;SPOZ;SPOZ
Hl. m. Praha;24;Vondrys Miloslav;Vondrys;Miloslav;;;;;;55;SPOZ;SPOZ
Královéhradeckı;3;Vrzáò Petr Ing.;Vrzáò;Petr;Ing.;;;;;46;SPOZ;SPOZ
Plzeòskı;7;Vybíral Jiøí;Vybíral;Jiøí;;;;;;36;SPOZ;SPOZ
Moravskoslezskı;10;Zachveja Matej JUDr.;Zachveja;Matej;JUDr.;;;;;61;SPOZ;BEZPP
Moravskoslezskı;30;Zapletal Pavel;Zapletal;Pavel;;;;;;40;SPOZ;SPOZ
Plzeòskı;2;Zeman Eduard Mgr.;Zeman;Eduard;Mgr.;;;;;65;SPOZ;SPOZ
Støedoèeskı;8;Zeman František;Zeman;František;;;;;;66;SPOZ;SPOZ
Karlovarskı;9;Zeman Milan JUDr.;Zeman;Milan;JUDr.;;;;;49;SPOZ;SPOZ
Zlínskı;17;Zeman Milan;Zeman;Milan;;;;;;54;SPOZ;SPOZ
Jihomoravskı;7;Ziegelbauer Zdenìk MUDr.;Ziegelbauer;Zdenìk;MUDr.;;;;;63;SPOZ;BEZPP
Hl. m. Praha;1;ák Zdenìk Bc.;ák;Zdenìk;Bc.;;;;;45;SPOZ;BEZPP
Hl. m. Praha;10;Adámek Karel Ing.;Adámek;Karel;Ing.;;;;;61;OBÈ_2011;BEZPP
Hl. m. Praha;1;Adámek Ludvík;Adámek;Ludvík;;;;;;58;OBÈ_2011;OBÈ_2011
Hl. m. Praha;11;Adámek Lukáš Bc.;Adámek;Lukáš;Bc.;;;;;28;OBÈ_2011;OBÈ_2011
Hl. m. Praha;4;Beneš František;Beneš;František;;;;;;54;OBÈ_2011;OBÈ_2011
Hl. m. Praha;8;Benešová Petra Ing.;Benešová;Petra;Ing.;;;;;29;OBÈ_2011;OBÈ_2011
Hl. m. Praha;3;Beranová Monika;Beranová;Monika;;;;;;51;OBÈ_2011;OBÈ_2011
Hl. m. Praha;6;Brichta Aleš Ing.;Brichta;Aleš;Ing.;;;;;54;OBÈ_2011;BEZPP
Hl. m. Praha;2;Kalousková Šorfová Albìta Mgr.;Kalousková;Šorfová Albìta;Mgr.;;;;;45;OBÈ_2011;BEZPP
Hl. m. Praha;7;Matìjková Jana;Matìjková;Jana;;;;;;55;OBÈ_2011;BEZPP
Hl. m. Praha;9;Reiman Josef;Reiman;Josef;;;;;;71;OBÈ_2011;BEZPP
Hl. m. Praha;5;Vykysal Jaroslav;Vykysal;Jaroslav;;;;;;37;OBÈ_2011;OBÈ_2011
Jihomoravskı;1;Adam Petr Mgr.;Adam;Petr;Mgr.;;;;;31;Úsvit;BEZPP
